,SMILES_cond,Index
0,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccccc2[C@H]1O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120190>
1,N[C@@H](CCC(O)=N[C@@H](CS[C@H]1c2ccccc2-c2ccccc2[C@H]1O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120820>
2,N[C@@H](CCC(O)=N[C@@H](CS[C@H]1c2ccccc2-c2ccccc2[C@@H]1O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120E40>
3,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(O)=Nc3cccc(C(=O)O)c3)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61203C0>
4,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(O)=Nc2cccc(C(=O)O)c2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61204A0>
5,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(O)=Nc3ccccc3C(=O)O)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120740>
6,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(O)=Nc2ccccc2C(=O)O)C1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611EBA0>
7,CC1(C)S[C@@H]2[C@H](N=C(O)CCCC[C@@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611EE40>
8,CC1(C)S[C@@H]2[C@H](N=C(O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6122660>
9,CC1(C)S[C@@H]2[C@H](N=C(O)CCC[C@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6122970>
10,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=N)O)C(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61220B0>
11,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@H]2CCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120900>
12,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)C=CC1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6122AC0>
13,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2CCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120350>
14,CC1(C)S[C@@H]2[C@H](N=C(O)CCC[C@@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611EAC0>
15,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(=O)N(C)C)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61206D0>
16,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)C(C)(C)C)C(C)C)ccc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6122430>
17,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(=O)N(C)C)C1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120EB0>
18,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=O)O)C(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6122820>
19,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61200B0>
20,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](CNS(N)(=O)=O)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611EB30>
21,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(C)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6122A50>
22,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2CCOCN=C2O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120890>
23,CC1(C)S[C@H]([C@@H](C=O)N=C(O)Cc2ccccc2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61226D0>
24,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccc(C(=O)O)cc2[C@H]1O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61229E0>
25,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)Cc2ccccc2)C(C)C)ccc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120580>
26,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)Cc2ccccc2)C(C)C)ccc1OC(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120BA0>
27,C=C1CS[C@H]([C@@H](C=O)N=C(O)/C(=N\OC)c2csc(=N)[nH]2)N=C1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120510>
28,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@H]2CCOC2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611E9E0>
29,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2CCOC2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611EA50>
30,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@H]2CCOC2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611EF20>
31,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2C[C@@H](O)CN2C(=O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611CE40>
32,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2CNC[C@H](C(=N)O)C2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120C80>
33,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@@H]1S[C@@H]1CN[C@H](C(O)=Nc2cccc(C(=O)O)c2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61209E0>
34,CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)OC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120D60>
35,CC(O)=N[C@H](C(O)=N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc2ncsc2c1)[C@@H](C)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120DD0>
36,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@@H]1S[C@@H]1CN[C@H](C(O)=Nc2ccccc2C(=O)O)C1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611E890>
37,CC1(C)S[C@@H]([C@@H](C=O)N=C(O)Cc2ccccc2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120CF0>
38,COCCCOc1ccccc1N1CCN(C[C@H](N)[C@@H](O)C[C@H](C(O)=NCC(C)(C)C(=N)O)C(C)C)CC1=O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119B30>
39,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)Cc2ccccc2)C(C)C)ccc1OC(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120200>
40,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccccc2[C@H]1C(=O)O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611EC10>
41,CCC1C(C(=O)Nc2cccc(S(=O)(=O)N(CC)CC)c2)=NC(C)=C1C(C)=O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6122270>
42,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)c2ccc(C)cc2)C(C)C)ccc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120F90>
43,C[C@@H]1C(S[C@@H]2CN[C@H](C(O)=Nc3cccc(C(=O)O)c3)C2)=C(C(=O)O)N[C@H]1[C@H](C=O)[C@@H](C)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611EC80>
44,CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)C[C@H](N)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120270>
45,C[C@@H]1[C@H]([C@H](C(=O)O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(O)=Nc2cccc(C(=O)O)c2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120970>
46,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H](N=C(C)O)[C@@H](C)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611ED60>
47,O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC=C1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6122740>
48,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2C[C@@H](CO)N=C2O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6122510>
49,CC1(C)S[C@@H]2[C@H](N=C(O)CCC(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61225F0>
50,CC[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120AC0>
51,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccccc2[C@H]1C(O)=NCC(=O)O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611ECF0>
52,C=C1CS[C@H]([C@@H](C=O)N=C(O)Cc2ccccc2)N=C1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6122580>
53,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2CCN=C2O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120C10>
54,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(C)(=O)=O)C(C)C)ccc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611EEB0>
55,O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC(C(=O)O)=C1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6120A50>
