,SMILES_nocond,Index
0,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1nc(O)nc(O)c1N2,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465EC10>
1,CC1(C)S[C@@H]2[C@H](N=C(O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F1430>
2,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C)C(O)=NO)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F1AC0>
3,CC(C)C[C@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)c1cnccn1)B(O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F1580>
4,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@H](C)C(O)=NO)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F19E0>
5,N=c1ccn([C@H]2CC[C@@H](COP(=O)(O)O)O2)c(O)n1,<rdkit.Chem.rdchem.Mol object at 0x0000015C00A36DD0>
6,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CON=C2O)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015C00A36EB0>
7,N=c1ccn([C@H]2CC[C@@H](COP(=O)=O)O2)c(O)n1,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465EDD0>
8,CN(C)c1cccc2c(S(=O)(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F1BA0>
9,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CO[C@H](c3ccccc3)C2)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015C3DAD27B0>
10,N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)O)cc1)N2,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96DF20>
11,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1c(O)nc(O)nc1N2,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F2580>
12,Cc1ncc(COP(=O)(O)O)c(CN[C@H]2C[C@@H](C)[C@H](O)[C@@H](C)C2)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96D9E0>
13,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CO[C@H](c3ccccc3)[C@@H]2O)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96D580>
14,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)O)cc1)N2C=O,<rdkit.Chem.rdchem.Mol object at 0x0000015CE456CF90>
15,CC1(C)S[C@H]2[C@@H](OC(=O)[C@H]2N=C(O)Cc2ccccc2)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F2EB0>
16,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)O)cc1)O2,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465E430>
17,N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)O)cc1)N2C=O,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F2BA0>
18,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)O)cc1)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F2A50>
19,N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)n1,<rdkit.Chem.rdchem.Mol object at 0x0000015C3DAD2580>
20,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(=N)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F1660>
21,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465E510>
22,O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)C=CC1,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96DC10>
23,O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC=C1,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F2740>
24,O=[N+]([O-])c1cc(O)c(O)c(C(O)=NC/C=C/[C@H]2OC[C@H](O)[C@@H]2O)c1,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96DAC0>
25,Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465EEB0>
26,N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)O)cc1)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F1510>
27,O=[N+]([O-])c1ccc([C@@H](O)CN=C(O)C2CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96D660>
28,Cc1ncc(COP(=O)(O)O)c(CNC2(C(=O)O)CC2)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96D740>
29,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2c1C(=O)NCC2,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465ECF0>
30,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465E6D0>
31,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CCCC[C@H]2C(=O)O)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465E4A0>
32,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)OCc1ccccc1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465E200>
33,CCOC(=O)c1c(C)nn(-c2ccc(N)cc2)c1C,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96DF90>
34,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)c1cccc(O)c1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F1740>
35,CC(C)N1C(=O)C(=O)C(c2ccc(F)cc2)=C1CC[C@@H](O)C[C@@H](O)CC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465EF90>
36,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2COc3ccccc32)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465E0B0>
37,Cc1ncc(COP(=O)(O)O)c(CNC2=C[C@H]3C[C@@H]3C2)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96DDD0>
38,CCOC(=O)c1c(C)nn(-c2ccccc2)c1C,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465EE40>
39,CC1(C)S[C@H]([C@@H](C=O)N=C(O)Cc2ccccc2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015C3DAD2350>
40,CC(C)C[C@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)c1cnccn1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465E900>
41,CC1(C)S[C@H]([C@@H](C=O)N=C(O)c2ccccc2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F2900>
42,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCC(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96DC80>
43,CC(C)C[C@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)c1ccncc1)B(O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015C3DAD2820>
44,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCC(O)=NO)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465EA50>
45,CC1=C(CCOP(=O)(O)O)S[C@H]([C@@H](O)Cc2ccccc2)N1Cc1ccc(C)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465EAC0>
46,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCC(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96DE40>
47,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](N=C(O)c1cccc(O)c1O)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465E820>
48,O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CCC1,<rdkit.Chem.rdchem.Mol object at 0x0000015CE456C970>
49,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCC(O)=NO)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015CE465E7B0>
50,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](N=C(O)c1cccc(O)c1O)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015CE456C190>
51,CC(C)(C)OC(O)=N[C@H]1CNc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x0000015C3DAD2120>
52,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F1120>
53,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96DD60>
54,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(C)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F14A0>
55,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=O)O)C(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015CE456CEB0>
56,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CC3CCCCC3)C(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015CE456CC10>
57,N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1,<rdkit.Chem.rdchem.Mol object at 0x0000015C00A36890>
58,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CC3CCCCC3)C(O)=NO)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015CE456CDD0>
59,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@@H](N)Cc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015CE456C040>
60,N=c1nc(O)c2c([nH]1)C(CN1C[C@H](CO)[C@@H](O)C1)C=N2,<rdkit.Chem.rdchem.Mol object at 0x0000015CE456CCF0>
61,N=c1nc(O)c2c([nH]1)C(CN1C[C@H](CO)[C@@H](O)C1)C=C2,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F2F90>
62,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1nc(O)nc(O)c1N2C,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96DBA0>
63,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1c(O)nc(O)nc1N2C,<rdkit.Chem.rdchem.Mol object at 0x0000015CE456C7B0>
64,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F26D0>
65,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCCC(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015CE456C0B0>
66,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C2CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F1040>
67,C#CCN(Cc1ccc2[nH]c(=N)nc(O)c2c1)c1ccc(C(=O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F25F0>
68,CN(C)c1cccc2c(S(=O)(=O)O)ccnc12,<rdkit.Chem.rdchem.Mol object at 0x0000015C3DAD2890>
69,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCCC(=O)O)ccnc12,<rdkit.Chem.rdchem.Mol object at 0x0000015C3D96DCF0>
70,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCC(O)=NO)ccnc12,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F2820>
71,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCC(=O)O)ccnc12,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F1CF0>
72,CCN(CC)c1ccc2c(=O)c3ccc(N(CC)CC)cc3oc2c1,<rdkit.Chem.rdchem.Mol object at 0x0000015CE447C970>
73,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=N)O)C(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015CFD9F2200>
