,SMILES_nocond,Index
0,CC1(C)S[C@@H]2[C@H](N=C(O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A82580>
1,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(=N)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A876D0>
2,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C)C(O)=NO)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A825F0>
3,N=c1ccn([C@H]2CC[C@@H](COP(=O)(O)O)O2)c(O)n1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A896D0>
4,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CON=C2O)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A82F20>
5,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@H](C)C(O)=NO)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86660>
6,CN(C)c1cccc2c(S(=O)(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A87DD0>
7,N=c1nc(O)c2c(CCc3ccc(C(=O)O)cc3)c[nH]c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A87270>
8,N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)O)cc1)N2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86430>
9,N=c1ccn([C@H]2CC[C@@H](COP(=O)=O)O2)c(O)n1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A89B30>
10,Cc1ncc(COP(=O)(O)O)c(CN[C@H]2C[C@@H](C)[C@H](O)[C@@H](C)C2)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A87430>
11,Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A89890>
12,N=c1nc(O)c2c([nH]1)C(CN1C[C@H](CO)[C@@H](O)C1)C=C2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A82120>
13,CC1(C)S[C@H]2[C@@H](OC(=O)[C@H]2N=C(O)Cc2ccccc2)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A82820>
14,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)O)cc1)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A87EB0>
15,N=c1nc(O)c2c([nH]1)C(CN1C[C@H](CO)[C@@H](O)C1)C=N2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86740>
